,vae
DCG@1,0.21486
Recall@1,0.18502478672644623
MAP@1,0.21407407407407408
DCG@3,0.4250296304396997
Recall@3,0.426647973121712
MAP@3,0.37490444444444443
DCG@5,0.5058122226216912
Recall@5,0.6182104632832797
MAP@5,0.4594068796296296
