,vae-ips
DCG@1,0.22947499999999998
Recall@1,0.19612974880221634
MAP@1,0.22870370370370371
DCG@3,0.4468554182368066
Recall@3,0.43836850391056437
MAP@3,0.4003914814814814
DCG@5,0.5258987875409648
Recall@5,0.627587415865899
MAP@5,0.4832997685185184
