Storage limitation,Storage Cost,Sum of Recreation Cost,Max Recreation,overhead,
94885,94885,217038277,409580,0.01029
200730,98975,88374744,177882,0.009287
306575,98975,75031785,152259,0.009408
412420,103117,62672311,125538,0.009198
518265,107199,48481246,94407,0.009044
624110,105154,38115060,69858,0.009263
729955,115471,21952187,37848,0.009179
835800,232409,5161310,7774,0.00905
941645,232409,5161310,7774,0.009131
1047490,246887,4707924,6677,0.009185
