,OLMAR
0,1.0
1,1.0136266770382458
2,1.0176989179899265
3,1.0232239169252846
4,1.0241398508123316
5,1.035508968298564
6,1.0344970130424487
7,1.0239483010914783
8,1.0300925714123024
9,1.025065531287201
10,1.044329852600154
11,1.0340643550497992
12,1.030408067661196
13,1.031721434350507
14,1.0235924768878573
15,1.0275941184330606
16,1.0252947979526985
17,0.9990510734230785
18,1.0057912580973232
19,1.0112617512565087
20,1.0228736095171092
21,1.0277836924692294
22,1.0305175368581747
23,1.02084100093021
24,1.0311967309353958
25,1.0300872692658731
26,1.03584835225967
27,1.0280133134260163
28,1.0232527440047217
29,1.0361499937113379
30,1.0382133540886294
31,1.038539305912749
32,1.0536166747469045
33,1.0386384147581
34,1.0383502892996812
35,1.027197299076047
36,1.0239846041835121
37,1.0199782831119544
38,1.0033553520579337
39,0.9980019667914959
40,1.0121157815452064
41,1.0080936947130603
42,1.0165228331860217
43,1.0186174347000334
44,1.036678002242088
45,1.0423722213012563
46,1.03598683472586
47,1.0134402886726166
48,1.0149400927709376
49,1.0101682633397886
50,1.0028725812887036
51,1.0159859996059937
52,1.01462503747322
53,1.009595955561699
54,1.0124472664723934
55,1.002272493544098
56,1.0006358593800389
57,0.9885649288591414
58,0.987331432025436
59,0.9977186748498922
60,0.9923259625194811
61,0.9880978211483438
62,1.0064562610743368
63,0.9983223434779859
64,1.0161812773192935
65,1.0317699600685488
66,1.0124884675521304
67,1.0079928804496934
68,1.0162588422613887
69,1.0291438777105726
70,1.036872036989695
71,1.0323842732852744
72,1.0279753207389035
73,1.0198641537647855
74,1.0334304079738021
75,1.0379335496798574
76,1.0774494567445307
77,1.0653344301869914
78,1.0661882652529682
79,1.0751380741888708
80,1.088534365455885
81,1.1146762943452833
82,1.1473701576075077
83,1.146809793470732
84,1.1491159069584522
85,1.147961066909871
86,1.1527353909974751
87,1.150599926267279
88,1.1625611267835354
89,1.1840623907607875
90,1.1923703008034132
91,1.20777953342858
92,1.2064912854236418
93,1.1978425515915667
94,1.1819157916438563
95,1.176260517726867
96,1.1588976631310075
97,1.1703427227819672
98,1.1579894838994051
99,1.1506499501169503
100,1.1498762144594168
101,1.1416042681607421
102,1.1243996980230009
103,1.126117898961807
104,1.1360991700205862
105,1.143786717102674
106,1.1502821130724261
107,1.1460852930199292
108,1.1455231233803191
109,1.1409922593662405
110,1.130030035736504
111,1.134760614388519
112,1.1454958377334423
113,1.139528359445038
114,1.1351677956233244
115,1.1346752254309256
116,1.1337320455928976
117,1.1226134876043532
118,1.1290763136951198
119,1.126752597796999
120,1.1245788796742526
121,1.1237015018186431
122,1.1100561239090727
123,1.0960541191931972
124,1.0898820735548365
125,1.1146530723301724
126,1.1113132600029887
127,1.1150419827362859
128,1.099537097866114
129,1.0948949243357822
130,1.0920781142027396
131,1.095505287531838
132,1.091601824271074
133,1.0753624431301345
134,1.0673858280943576
135,1.0549379664185325
136,1.0486456647881135
137,1.040266809685772
138,1.0159653728747002
139,1.0082249299286805
140,1.0225976694574361
141,1.009298380998712
142,1.0187811481580484
143,1.0105727282925776
144,1.0240966939604506
145,1.045407479104604
146,1.0481762192757822
147,1.0528935227765936
148,1.0773488569023513
149,1.086827227133881
150,1.0900860395554246
151,1.08985053521577
152,1.077359212843965
153,1.0821071647040679
154,1.07313129663675
155,1.0546082204150833
156,1.0482201345211075
157,1.0404555673736682
158,1.0454476828396235
159,1.0429407312048264
160,1.0580521894675057
161,1.0680414032132621
162,1.0702691921343306
163,1.0499182696492708
164,1.0490985340544658
165,1.044550592032861
166,1.066238858068962
167,1.0755183405383106
168,1.0752454551374433
169,1.0834898587281185
170,1.0715073760797549
171,1.0851544836811569
172,1.0935034318295527
173,1.0880576315433916
174,1.0833338259135012
175,1.07998772867155
176,1.081593224112152
177,1.0810219085057429
178,1.067367649763499
179,1.0612945365059112
180,1.0592245080765488
181,1.06904099285397
182,1.0725851879291082
183,1.0631884156042921
184,1.086315391394302
185,1.0909871617387226
186,1.0846390980886946
187,1.0860873342088868
188,1.0858980347489333
189,1.0872856122038808
190,1.078473276399829
191,1.0724102244435063
192,1.0854586393706813
193,1.109748201620228
194,1.1196473874947612
195,1.1221413873636794
196,1.1151775041250733
197,1.09036272363198
198,1.1097632061706912
199,1.1184139829473698
200,1.1398413347730798
201,1.1456004509007605
202,1.15097584493484
203,1.1179611477795424
204,1.1108697574117097
205,1.1236005387486103
206,1.1314669234842836
207,1.1557752075619006
208,1.1663693322499042
209,1.1808224174436384
210,1.1858010756934136
211,1.1618829974582157
212,1.165042889085597
213,1.1697834923963886
214,1.1780781116522054
215,1.1451874903256378
216,1.1374972498176321
217,1.1351514074504794
218,1.1563795222006987
219,1.1645146943000306
220,1.159162046628982
221,1.1557962546290754
222,1.1656778119792777
223,1.1711055169674447
224,1.1571150267959422
225,1.1533281129120871
226,1.174015325760057
227,1.1739862658323528
228,1.1632987575750813
229,1.1693865890650808
230,1.1783747136904748
231,1.178736229160925
232,1.1664501526855433
233,1.1545070052292108
234,1.1638775804798764
235,1.1614512890822881
236,1.186402693852458
237,1.2001453809543876
238,1.2226739337683459
239,1.2215205221684866
240,1.2143892901346516
241,1.2330045150726152
242,1.222509954028109
243,1.2380791142468561
244,1.2403505852082266
245,1.2466518791264258
246,1.2610209908919838
247,1.256570180023633
248,1.244306497796008
249,1.259946385256125
250,1.251142254357823
251,1.2581883524484054
252,1.2672505750726246
253,1.2553369945988542
254,1.250211529993819
255,1.241249487912457
256,1.219449801341379
257,1.2127123973317642
258,1.2159135594714583
259,1.2230429784036798
260,1.2160307095409995
261,1.2071230970982956
262,1.2071970844788509
263,1.1904121155808585
264,1.2085906312232848
265,1.2126967720828303
266,1.2237339607441098
267,1.237864823901659
268,1.2459260689788554
269,1.238825984999671
270,1.2389170261011595
271,1.231553300931695
272,1.2161205479312678
273,1.2355965243742264
274,1.2638881035564935
275,1.2475552949106838
276,1.2474153925504867
277,1.240160867860275
278,1.261391731191987
279,1.2560767187660995
280,1.2569928829254067
281,1.2906324160129439
282,1.275011232956692
283,1.2801591498451204
284,1.3056555395793616
285,1.2974769608550445
286,1.3129421740870444
287,1.3062112441546763
288,1.2935056220188592
289,1.2936865491773741
290,1.3029181311519542
291,1.2913657895158213
292,1.3002902087990733
293,1.294359007684225
294,1.282521242014164
295,1.275305491554686
296,1.2694249239748414
297,1.2663889391473435
298,1.2818314002417721
299,1.293194970891528
300,1.2961233051682624
301,1.2920526170199185
302,1.2693312219271409
303,1.256773539636699
304,1.2658019398475602
305,1.2454353886039824
306,1.2390401909150512
307,1.257876289234197
308,1.2498236935571787
309,1.2475728505026011
310,1.2399996434918112
311,1.2476355476963477
312,1.2280469936515737
313,1.2427905559535253
314,1.2256959877317897
315,1.2096656252369868
316,1.2031042347042111
317,1.1982905107650672
318,1.2073678779498367
319,1.202853676039479
320,1.1900586970250833
321,1.1940324279781191
322,1.1958344203611573
323,1.190123980373909
324,1.162807634036065
325,1.1643579193261204
326,1.1604879598497284
327,1.1491813995373215
328,1.1527694269496807
329,1.1610052751993158
330,1.168711030851014
331,1.1799705106216043
332,1.1749721781620794
333,1.1873809676632314
334,1.216828311879352
335,1.2074742320302314
336,1.2226780364697294
337,1.2291767214041176
338,1.2440960966220485
339,1.2170216996444918
340,1.2257456293935385
341,1.2354868448628311
342,1.234297430788146
343,1.2420086261737617
344,1.240601571779602
345,1.2264798048726318
346,1.2048916321152905
347,1.216841555059339
348,1.2205065809907973
349,1.2147953590051432
350,1.2316025636802672
351,1.2357656290191696
352,1.2347094322059586
353,1.242609506592538
354,1.240361226056048
355,1.203553370708606
356,1.1937517520142482
357,1.2014748430073363
358,1.2030228769463602
359,1.2111503117850204
360,1.2160899616111962
361,1.205614510995987
362,1.1936145111948588
363,1.1986637233577855
364,1.197802189999297
365,1.18700805706836
366,1.1840424083636247
367,1.183376925518551
