842	总
843	久
844	食饭
845	听说
846	酱汁
847	一斤
848	这边
849	一种
850	一流
851	不想
852	死
853	等等
854	软
855	吞
856	喝茶
857	明显
858	号
859	排
860	亦
861	日本
862	生菜
863	糖水
864	小炒
865	不知
866	坐在
867	很小
868	月
869	．
870	肥
871	很快
872	安静
873	很久
874	招牌菜
875	据说
876	这些
877	聚会
878	鱼皮
879	丰富
880	半价
881	多少
882	大众
883	酱油
884	小小
885	人气
886	桌
887	想象
888	南瓜
889	找到
890	添
891	酒店
892	菜牌
893	店员
894	满足
895	晚餐
896	厚
897	爽
898	牛扒
899	?
900	聊天
901	隔离
902	偶尔
903	一边
904	肝
905	起码
906	抵食
907	全
908	来到
909	墨鱼
910	铁板
911	咬
912	对面
913	逛街
914	偏贵
915	人均
916	中间
917	48
918	每个
919	夹
920	少少
921	茄子
922	经理
923	挺好吃
924	PIZZA
925	四个
926	本身
927	所谓
928	不行
929	美食
930	发票
931	斤
932	吗
933	越来越
934	以上
935	而已
936	记
937	风格
938	享受
939	配料
940	肉质
941	一块
942	另
943	催
944	订
945	所有
946	一口
947	服务生
948	质量
949	每人
950	活动
951	架
952	天
953	为主
954	光顾
955	牛奶
956	還
957	哇
958	是因为
959	蒜蓉
960	一半
961	一张
962	年
963	心
964	价位
965	腩
966	巧克力
967	奇怪
968	做法
969	看着
970	不怎么
971	将
972	稍
973	∷
974	玉米
975	很好
976	更加
977	师傅
978	整体
979	午餐
980	似
981	忘记
982	千
983	下去
984	拌
985	上下
986	间野
987	粉丝
988	提前
989	牛排
990	外
991	开张
992	订位
993	冷
994	辣椒
995	那边
996	鲜
997	會
998	稳
999	一共
1000	很浓
1001	25
1002	嚼
1003	肉酱
1004	半只
1005	鬼
1006	长
1007	搭配
1008	猪肚
1009	一大
1010	情侣
1011	%
1012	^
1013	为了
1014	人点
1015	总的来说
1016	毕竟
1017	上去
1018	黑
1019	滴
1020	番薯
1021	九
1022	摆
1023	顾客
1024	一条
1025	们
1026	样
1027	岩
1028	馅
1029	服务费
1030	烧烤
1031	奶
1032	怕
1033	味精
1034	劲
1035	水平
1036	更好
1037	饿
1038	鱿鱼
1039	花生
1040	妈妈
1041	菜心
1042	肚
1043	钟意
1044	果度
1045	過
1046	逼
1047	油腻
1048	只要
1049	过得去
1050	继续
1051	饭店
1052	快餐
1053	慢慢
1054	卡座
1055	艇
1056	半个
1057	别的
1058	其中
1059	胜
1060	交通
1061	钟
1062	间店
1063	餐牌
1064	还点
1065	重要
1066	地点
1067	刷卡
1068	牛仔
1069	最爱
1070	棒
1071	除
1072	一楼
1073	其
1074	整个
1075	种
1076	大碗
1077	石锅
1078	保持
1079	朱古力
1080	厨房
1081	早餐
1082	楼下
1083	由
1084	广东
1085	系度
1086	米粉
1087	逛
1088	约
1089	作为
1090	决定
1091	三星
1092	炒菜
1093	马上
1094	菜品
1095	野食
1096	原价
1097	一层
1098	小菜
1099	用料
1100	窄
1101	40
1102	泡菜
1103	人家
1104	菜色
1105	依然
1106	专门
1107	认为
1108	商务
1109	F
1110	食品
1111	天河
1112	健康
1113	西餐厅
1114	券
1115	个个
1116	一齐
1117	椰子
1118	按
1119	太贵
1120	最低
1121	它家
1122	醋
1123	关系
1124	块钱
1125	黑椒
1126	冰镇
1127	啱
1128	通常
1129	鱼肉
1130	气氛
1131	上海
1132	昨天
1133	常
1134	鸡翅
1135	各种
1136	绿茶
1137	夏天
1138	韩国
1139	一道
1140	等到
1141	挤
1142	布丁
1143	酸菜
1144	斋
1145	啫
1146	看起来
1147	铺
1148	切
1149	宜家
1150	焖
1151	个菜
1152	鲜甜
1153	名
1154	西关
1155	食材
1156	冬天
1157	熟
1158	中规中矩
1159	_
1160	吃饱
1161	配菜
1162	鲜味
1163	韧
1164	翅
1165	白
1166	忘
1167	不怎么样
1168	颈
1169	提供
1170	道
1171	网上
1172	米饭
1173	包房
1174	小贵
1175	开胃
1176	一盘
1177	酒
1178	回来
1179	林
1180	今晚
1181	披萨
1182	阵
1183	不贵
1184	胃口
1185	后面
1186	杏仁
1187	姜
1188	开心
1189	日式
1190	哈
1191	外卖
1192	总是
1193	不了
1194	四
1195	装
1196	香浓
1197	舒适
1198	跑
1199	西兰花
1200	式
1201	房
1202	牙
1203	很嫩
1204	金针菇
1205	肉丸
1206	啖
1207	88
1208	之间
1209	烧鸡
1210	无人
1211	68
1212	似乎
1213	一点点
1214	厨师
1215	肚子
1216	相比
1217	有时候
1218	淋
1219	第一
1220	春卷
1221	鲍鱼
1222	西餐
1223	看见
1224	类似
1225	八
1226	弹牙
1227	店家
1228	哎
1229	别人
1230	鲜美
1231	鸡蛋
1232	掂
1233	发觉
1234	薯仔
1235	周围
1236	不吃
1237	整
1238	浪费
1239	凉拌
1240	结账
1241	很滑
1242	回家
1243	各
1244	牛河
1245	撑
1246	高档
1247	至少
1248	天气
1249	川菜
1250	且
1251	网
1252	不足
1253	脆皮
1254	莲藕
1255	令
1256	隔壁
1257	後
1258	飯
1259	芥末
1260	白切鸡
1261	必胜客
1262	西
1263	58
1264	令人
1265	也好
1266	宴请
1267	学生
1268	意大利
1269	火候
1270	属于
1271	吃到
1272	正佳
1273	同样
1274	吃不完
1275	店铺
1276	明明
1277	黄
1278	足够
1279	嘻嘻
1280	好久
1281	星巴克
1282	港式
1283	特意
1284	露天
1285	闻到
1286	还算
1287	情况
1288	拣
1289	很饱
1290	事
1291	看上去
1292	糯米
1293	请客
1294	小店
1295	要点
1296	弹
1297	牛筋
1298	珠江
1299	郁闷
1300	加水
1301	蘑菇
1302	习惯
1303	之外
1304	中华
1305	煲仔饭
1306	......
1307	一句
1308	地铁
1309	蒜
1310	無
1311	晕
1312	16
1313	到位
1314	品尝
1315	传说
1316	只好
1317	玩
1318	位子
1319	芋头
1320	看来
1321	BF
1322	椒
1323	件
1324	湘菜
1325	N
1326	鸳鸯
1327	早上
1328	价
1329	算系
1330	芥兰
1331	红酒
1332	已
1333	单点
1334	廉
1335	如
1336	简单
1337	LG
1338	羊
1339	青瓜
1340	看看
1341	气
1342	那样
1343	空间
1344	心情
1345	没想到
1346	过瘾
1347	碟头
1348	忙
1349	站
1350	碎
1351	考虑
1352	自然
1353	马蹄
1354	于
1355	期间
1356	不然
1357	200
1358	今次
1359	河粉
1360	无论
1361	可乐
1362	卤水
1363	东北
1364	菠萝
1365	主打
1366	车
1367	半天
1368	冲着
1369	款式
1370	感
1371	阿姨
1372	之一
1373	正好
1374	街
1375	几抵
1376	忌
1377	晚饭
1378	覺得
1379	'
1380	显得
1381	图片
1382	用餐
1383	值
1384	清楚
1385	撕
1386	吓
1387	依家
1388	红烧
1389	抹
1390	丝
1391	茶楼
1392	錯
1393	响
1394	彩
1395	是否
1396	丸子
1397	区别
1398	小丸子
