0wardCODE 1BoroughID 2ME16 3ME12 4education 5age 6gender 7longitude 8latitude 9income(£1000) 10size
E05000064 0 0.280266920877 0.23112244898 1.87156082931 50.3747945898 0.523372491434 0.161825392384 51.4576421167 38.2 8172.0 
E05000065 0 0.495341614907 0.451629327902 1.89989196975 46.4910849551 0.529802816901 0.151269714652 51.4934571623 33.51 8875.0 
E05000066 0 0.278763074125 0.230769230769 1.8546877004 49.9679070929 0.522950224052 0.0917192595691 51.4455123265 40.78 8257.0 
E05000067 0 0.232538330494 0.201359388275 1.89361966236 50.0975669397 0.519815450136 0.116953534705 51.4460053583 40.34 8453.0 
E05000068 0 0.284392598552 0.246484698098 1.89296636086 52.1898533007 0.523781283359 0.139215386146 51.4682233781 40.79 8431.0 
E05000069 0 0.327272727273 0.269865067466 2.04101061882 50.1525947037 0.523749281196 0.140964009356 51.4551245264 40.19 8695.0 
E05000070 0 0.367721518987 0.358415841584 1.7621834839 48.0294882914 0.534730538922 0.170363031499 51.4699708159 34.45 8350.0 
E05000072 0 0.325936883629 0.270478284772 1.8770983948 49.8971346361 0.543205574913 0.133509466766 51.4235280551 35.53 8610.0 
E05000071 0 0.384658454647 0.345714285714 1.77553813612 48.144772118 0.52389380531 0.181901038388 51.4531491951 34.9 8475.0 
E05000073 0 0.302914476828 0.237195425162 1.91408678354 49.5437810343 0.527787527788 0.118155487644 51.4571051016 38.58 8547.0 
E05000074 0 0.357894736842 0.284740429995 1.75125313283 49.9262425205 0.522780925401 0.0970054808889 51.4680934405 36.26 8472.0 
E05000075 0 0.523722627737 0.482461538462 1.93113917901 45.577782953 0.523158012785 0.169599897701 51.4881342917 33.16 8917.0 
E05000076 0 0.300185013876 0.265906932574 1.87696004047 48.7985813868 0.516324349994 0.0964244060525 51.4581094661 39.0 8423.0 
E05000077 0 0.429931253305 0.411530815109 1.91934679631 49.0489384671 0.526083932298 0.129927333405 51.4843050704 35.63 8626.0 
E05000078 0 0.297274979356 0.207638279192 2.12439658374 51.456084785 0.543636791343 0.0939245718854 51.4272045684 40.88 8502.0 
E05000079 0 0.53884180791 0.530872959546 1.70009068532 45.1380995242 0.538994800693 0.198978059295 51.4733591827 29.93 8078.0 
E05000080 0 0.357619291945 0.300821355236 1.80687376074 48.9932016419 0.526744904262 0.15218502855 51.4748944063 37.13 8095.0 
E05000083 0 0.269841269841 0.204771371769 2.17570936721 50.4187924175 0.533643481221 0.105702647714 51.4340078649 41.22 8813.0 
E05000081 0 0.233268101761 0.189833200953 2.15492247573 51.7540841584 0.518059234288 0.146410542769 51.4395984233 44.01 8306.0 
E05000082 0 0.333333333333 0.268613138686 1.85710656675 48.2007698038 0.521384928717 0.11844860254 51.4705054044 38.51 8347.0 
E05000084 0 0.651274982771 0.709111488398 2.11248250414 43.3150753143 0.525020801141 0.13570323793 51.503437971 32.1 8413.0 
E05000106 1 0.253370013755 0.164664518019 2.57548672566 51.9027850305 0.531070098205 0.0463213665231 51.4016411118 47.19 11812.0 
E05000107 1 0.165909090909 0.149599287622 2.05633039946 50.0072934624 0.517232510288 0.0236706550178 51.3163122756 40.93 7776.0 
E05000108 1 0.303201506591 0.231777493606 2.12993990166 50.0065073988 0.533494893543 0.0407721737441 51.3725548262 40.51 11554.0 
E05000109 1 0.446453800509 0.279668540988 2.60817920918 46.8208398134 0.51666037023 0.0147077927281 51.4037251127 43.46 13235.0 
E05000110 1 0.249248428532 0.178418803419 2.34980218971 51.4615664514 0.518272719228 0.113208408893 51.3510424114 44.85 11301.0 
E05000111 1 0.251485148515 0.157781862745 2.47286683327 52.359343807 0.529466553768 0.0742960208641 51.4131032674 46.25 11810.0 
E05000112 1 0.568690958165 0.405925473427 2.48722611934 46.3324571816 0.530425461741 -0.0478215063008 51.4049709044 41.65 12128.0 
E05000113 1 0.387777176852 0.219753827679 2.71684905053 47.4531042561 0.517575295463 -0.0194094688562 51.4118063511 43.17 13115.0 
E05000114 1 0.381980290943 0.320906087777 1.74513743037 49.0351955805 0.540433244153 0.131661109165 51.3916779468 32.23 11587.0 
E05000115 1 0.363338021566 0.323516673885 1.70826249575 48.7067149718 0.542361845853 0.102653567219 51.4003463999 31.74 12287.0 
E05000116 1 0.742276766822 0.586097946288 2.4539540101 42.4510012782 0.515573432343 -0.0688349392913 51.416994417 34.06 9696.0 
E05000117 1 0.164505672609 0.144321093083 2.0754519256 52.8818639798 0.510219157843 0.0572316249865 51.3271462741 42.81 4061.0 
E05000118 1 0.220460358056 0.155840684309 2.25811732606 53.7605406857 0.541265955587 0.0669340271967 51.3653941349 44.59 11438.0 
E05000119 1 0.259090909091 0.170223577236 2.32853025937 51.4974781439 0.525783289817 0.011554597352 51.369784617 45.66 12256.0 
E05000120 1 0.33826754386 0.237186788155 2.34725536993 50.9795471762 0.534230926153 -0.0297319636541 51.3936577802 44.7 12255.0 
E05000121 1 0.414786967419 0.337484433375 1.83869596031 47.4559127915 0.553063676412 0.0415605099754 51.4323269617 32.33 7491.0 
E05000122 1 0.266471449488 0.208616780045 2.0629789483 51.940227704 0.525235671978 0.10941739018 51.3713214279 38.09 11987.0 
E05000123 1 0.66504576659 0.520467836257 2.4014348346 44.8180616055 0.52854345534 -0.0483103977629 51.4159586849 36.09 13278.0 
E05000124 1 0.216662558541 0.149329283726 2.43231525195 52.4466324201 0.523399128904 0.0785337382481 51.3858968844 48.53 10791.0 
E05000125 1 0.401015228426 0.281016949153 2.32042378917 48.3334203883 0.529600811908 0.0232982231963 51.4177781495 39.46 11824.0 
E05000126 1 0.275009366804 0.153493699885 2.67120726496 51.8943885654 0.523017408124 -0.00173271484904 51.3964371725 48.02 7755.0 
E05000127 1 0.260106788711 0.17556655379 2.36106115108 52.6870668707 0.529807104827 -0.0115711686787 51.3779207884 46.21 11457.0 
E05000085 2 0.67581120944 0.716136195411 2.06211250141 43.1963674401 0.483823931468 -0.2945448888 51.5404740609 31.25 10973.0 
E05000086 2 0.62872715614 0.626578282828 2.39306247604 45.2225588643 0.502902155887 -0.279488597354 51.5711297202 34.63 12060.0 
E05000087 2 0.603743528475 0.50288248337 2.69289745501 44.2125404769 0.508556301409 -0.218914361293 51.5428916527 40.02 10577.0 
E05000088 2 0.675044883303 0.681796911558 1.99066762383 45.2032801036 0.508851848017 -0.236554586278 51.5643370569 30.99 9659.0 
E05000089 2 0.713309352518 0.694233687405 2.28591851322 43.0211122091 0.499741646573 -0.241599548248 51.5542256384 33.47 11612.0 
E05000090 2 0.560947204969 0.581309180733 2.20879120879 45.244206052 0.50053465539 -0.265098148298 51.5820544428 35.59 10287.0 
E05000091 2 0.819593787336 0.794631964213 1.89355581128 43.2166395618 0.517414161327 -0.250728963554 51.5409418405 27.03 12174.0 
E05000092 2 0.736946202532 0.634899328859 2.32361111111 42.8224589436 0.501369394043 -0.236769866866 51.5349818003 34.64 11684.0 
E05000093 2 0.368769606135 0.366382649109 2.52767067362 48.3762428602 0.503363914373 -0.29992168933 51.5813350011 42.19 9810.0 
E05000094 2 0.766153846154 0.718739054291 2.53689974726 41.8193933824 0.511375387797 -0.198673401652 51.5369113898 34.27 13538.0 
E05000095 2 0.66318537859 0.624649859944 2.7066078502 41.3615597977 0.486446255092 -0.218741067862 51.5538132776 36.83 12764.0 
E05000096 2 0.500345303867 0.478279569892 2.66297743056 45.0418816388 0.509082125604 -0.317978750842 51.5690155717 41.1 10350.0 
E05000097 2 0.583221925134 0.546411856474 2.42806983322 44.8343205575 0.503184713376 -0.297091866577 51.5661662164 35.96 11932.0 
