wards KBIfraction originalfration
E05000064 0.9375 0.76887755102
E05000065 0.908045977011 0.548370672098
E05000066 0.938271604938 0.769230769231
E05000067 0.843373493976 0.798640611725
E05000068 0.927710843373 0.753515301902
E05000069 0.894117647059 0.730134932534
E05000070 0.841463414634 0.641584158416
E05000072 0.904761904762 0.729521715228
E05000071 0.903614457831 0.654285714286
E05000073 0.904761904762 0.762804574838
E05000074 0.951807228916 0.715259570005
E05000075 0.908045977011 0.517538461538
E05000076 0.80487804878 0.734093067426
E05000077 0.809523809524 0.588469184891
E05000078 0.927710843373 0.792361720808
E05000079 0.898734177215 0.469127040454
E05000080 0.822784810127 0.699178644764
E05000083 0.895348837209 0.795228628231
E05000081 0.950617283951 0.810166799047
E05000082 0.878048780488 0.731386861314
E05000084 0.878048780488 0.290888511602
E05000106 0.939655172414 0.835335481981
E05000107 0.973684210526 0.850400712378
E05000108 0.867256637168 0.768222506394
E05000109 0.792307692308 0.720331459012
E05000110 0.936936936937 0.821581196581
E05000111 0.956896551724 0.842218137255
E05000112 0.848739495798 0.594074526573
E05000113 0.782945736434 0.780246172321
E05000114 0.964912280702 0.679093912223
E05000115 0.925619834711 0.676483326115
E05000116 0.768421052632 0.413902053712
E05000117 0.975 0.855678906917
E05000118 0.982142857143 0.844159315691
E05000119 0.908333333333 0.829776422764
E05000120 0.933333333333 0.762813211845
E05000121 0.945205479452 0.662515566625
E05000122 0.932203389831 0.791383219955
E05000123 0.846153846154 0.479532163743
E05000124 0.943396226415 0.850670716274
E05000125 0.879310344828 0.718983050847
E05000126 0.934210526316 0.846506300115
E05000127 0.9375 0.82443344621
E05000085 0.87962962963 0.283863804589
E05000086 0.830508474576 0.373421717172
E05000087 0.798076923077 0.49711751663
E05000088 0.778947368421 0.318203088442
E05000089 0.859649122807 0.305766312595
E05000090 0.772277227723 0.418690819267
E05000091 0.739495798319 0.205368035787
E05000092 0.791304347826 0.365100671141
E05000093 0.96875 0.633617350891
E05000094 0.84962406015 0.281260945709
E05000095 0.88 0.375350140056
E05000096 0.762376237624 0.521720430108
E05000097 0.846153846154 0.453588143526
E05000098 0.741666666667 0.472926921621
E05000099 0.713043478261 0.392057761733
E05000100 0.743362831858 0.143908722856
E05000101 0.761061946903 0.308026888098
E05000102 0.897435897436 0.32565404139
E05000103 0.766990291262 0.376394849785
E05000104 0.852173913043 0.273363524084
E05000105 0.801652892562 0.259517177344
E05000285 0.880952380952 0.676391382406
E05000286 0.969072164948 0.782204515272
E05000287 0.772727272727 0.389812889813
E05000288 0.787878787879 0.485923423423
E05000289 0.9 0.554495228528
E05000290 0.953488372093 0.600995024876
E05000291 0.951219512195 0.73118729097
E05000292 0.948717948718 0.66029143898
E05000293 0.857142857143 0.44901866922
E05000294 0.895348837209 0.360356138707
E05000295 0.862068965517 0.556082830026
E05000296 0.913978494624 0.363636363636
E05000297 0.974358974359 0.757385854969
E05000298 0.974025974026 0.732963549921
E05000299 0.842696629213 0.403451492537
E05000300 0.915662650602 0.53517364203
E05000301 0.769230769231 0.341754708314
E05000302 0.857142857143 0.359778597786
E05000303 0.943181818182 0.774588235294
E05000304 0.792682926829 0.352260198456
E05000305 0.833333333333 0.498994974874
E05000043 0.886178861789 0.605208333333
E05000044 0.806201550388 0.320580474934
E05000045 0.81935483871 0.639534883721
E05000046 0.84126984127 0.290456431535
E05000047 0.810606060606 0.515743756786
E05000048 0.859504132231 0.636532048907
E05000049 0.806451612903 0.459939658062
