area(wards,Boroughs) KBIfraction originalfration
E05000307 0.663265306122 0.6459
E05000308 0.556701030928 0.7167
E05000309 0.6 0.6422
E05000310 0.537735849057 0.7593
E05000311 0.587628865979 0.7305
E05000312 0.525252525253 0.6923
E05000313 0.556701030928 0.7709
E05000314 0.516129032258 0.7897
E05000315 0.59 0.6972
E05000316 0.555555555556 0.7573
E05000317 0.696078431373 0.7133
E05000318 0.442105263158 0.7553
E05000319 0.539682539683 0.6243
E05000321 0.564356435644 0.7606
E05000322 0.504854368932 0.6543
E05000320 0.603773584906 0.6982
E05000323 0.643564356436 0.6301
E05000346 0.563829787234 0.64
E05000347 0.58407079646 0.4392
E05000348 0.573033707865 0.2668
E05000349 0.588888888889 0.2646
E05000350 0.521739130435 0.5597
E05000351 0.574712643678 0.6647
E05000352 0.532110091743 0.6434
E05000353 0.563218390805 0.5597
E05000354 0.593023255814 0.5733
E05000355 0.5 0.4937
E05000356 0.548387096774 0.4715
E05000357 0.488888888889 0.4948
E05000358 0.53781512605 0.4896
E05000359 0.453703703704 0.4882
E05000360 0.620689655172 0.4417
E05000361 0.51 0.5101
E05000362 0.5 0.4508
E05000363 0.529411764706 0.6341
E05000364 0.634615384615 0.4538
E05000365 0.542553191489 0.2718
E05000366 0.56 0.2782
E05000367 0.520325203252 0.3097
E05000368 0.46017699115 0.3111
E05000369 0.46875 0.2787
E05000370 0.474226804124 0.3029
E05000371 0.589285714286 0.223
E05000372 0.505376344086 0.1922
E05000373 0.5 0.193
E05000374 0.527472527473 0.2267
E05000375 0.537190082645 0.2669
E05000376 0.602040816327 0.2425
E05000377 0.485148514851 0.2218
E05000378 0.484848484848 0.2205
E05000379 0.489583333333 0.2408
E05000380 0.536082474227 0.2781
E05000381 0.657142857143 0.2114
E05000416 0.536585365854 0.2967
E05000417 0.472868217054 0.1832
E05000418 0.447619047619 0.1804
E05000419 0.622807017544 0.198
E05000420 0.488 0.199
E05000421 0.503937007874 0.2097
E05000422 0.445544554455 0.2502
E05000423 0.466101694915 0.1701
E05000424 0.509259259259 0.2315
E05000425 0.45652173913 0.2012
E05000426 0.544 0.2159
E05000427 0.614035087719 0.2541
E05000428 0.560344827586 0.2091
E05000429 0.551724137931 0.2297
E05000430 0.625 0.1921
E05000431 0.574074074074 0.2658
E05000432 0.452173913043 0.2168
E05000433 0.547368421053 0.2047
E05000434 0.572815533981 0.2185
E05000435 0.512605042017 0.1963
E05000436 0.504504504505 0.2141
E05000455 0.52380952381 0.2654
E05000456 0.638888888889 0.4299
E05000457 0.420454545455 0.3137
E05000458 0.506024096386 0.4897
E05000459 0.506666666667 0.242
E05000460 0.560975609756 0.4557
E05000461 0.526315789474 0.3547
E05000462 0.546666666667 0.272
E05000463 0.538461538462 0.4347
E05000464 0.527027027027 0.4189
E05000465 0.614285714286 0.5177
E05000466 0.630136986301 0.2946
E05000467 0.616438356164 0.4562
E05000468 0.513513513514 0.504
E05000469 0.48 0.3029
E05000470 0.636363636364 0.5141
E05000471 0.448717948718 0.2616
E05000472 0.661538461538 0.2729
E05000473 0.573333333333 0.3564
E05000474 0.619047619048 0.25
E05000590 0.553398058252 0.389
E05000591 0.621052631579 0.4035
E05000592 0.460784313725 0.3798
E05000593 0.679012345679 0.5539
E05000594 0.548780487805 0.5604
E05000595 0.635416666667 0.3868
E05000596 0.522123893805 0.3344
E05000597 0.609756097561 0.4492
E05000598 0.559523809524 0.5517
E05000599 0.623853211009 0.3082
E05000600 0.521276595745 0.4
E05000601 0.504761904762 0.2857
E05000602 0.523255813953 0.5583
E05000603 0.477876106195 0.3645
E05000604 0.43137254902 0.3941
E05000605 0.509803921569 0.3318
E05000606 0.515151515152 0.3178
E05000607 0.623529411765 0.542
E05000608 0.530612244898 0.3052
E05000609 0.510204081633 0.3274
Borough 0 0.570114942529 0.629516923628
Borough 2 0.529834955565 0.402630885309
Borough 4 0.55 0.377705190862
Borough 6 0.537451737452 0.624390904169
Borough 8 0.526572187777 0.471551781774
Borough 9 0.533925686591 0.325440014783
Borough 11 0.601806810285 0.537171546547
Borough 13 0.544217687075 0.563681195592
Borough 17 0.551923076923 0.301414764648
Borough 19 0.551150269212 0.460255940359
Borough 21 0.520462633452 0.271879970966
Borough 23 0.517842660178 0.249683311799
Borough 24 0.528911564626 0.215195829334
Borough 28 0.561133603239 0.383921660607
Borough 29 0.561060711793 0.307060272411
Borough 30 0.512925170068 0.299768201191
Borough 31 0.561403508772 0.31308573412
Borough 32 0.560690423163 0.310348355415
