CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F186,F187,F188,F189,F191,F192,
,,,,,Age : Age 16 and over - Qualification; highest level of : Total\ Highest level of qualification - Unit : Persons,Age : Age 16 and over - Qualification; highest level of : No qualifications - Unit : Persons,Age : Age 16 and over - Qualification; highest level of : Level 1 qualifications - Unit : Persons,Age : Age 16 and over - Qualification; highest level of : Level 2 qualifications - Unit : Persons,Age : Age 16 and over - Qualification; highest level of : Level 3 qualifications - Unit : Persons,Age : Age 16 and over - Qualification; highest level of : Level 4 qualifications and above - Unit : Persons,
966,95WW16,Glengormley,Wards and Electoral Divisions,WED,2374,713,347,353,275,454,
967,95WW17,Hawthorne,Wards and Electoral Divisions,WED,1886,579,275,304,223,315,
968,95WW18,Hightown,Wards and Electoral Divisions,WED,1845,526,219,296,212,394,
969,95WW19,Jordanstown,Wards and Electoral Divisions,WED,4777,704,444,737,652,1903,
970,95WW20,Mallusk,Wards and Electoral Divisions,WED,6289,904,775,1054,990,2119,
971,95WW21,Monkstown,Wards and Electoral Divisions,WED,2682,920,442,394,290,409,
972,95WW22,Mossley,Wards and Electoral Divisions,WED,2357,736,358,398,319,334,
973,95WW23,Rostulla,Wards and Electoral Divisions,WED,4231,579,264,497,1171,1429,
974,95WW24,Valley,Wards and Electoral Divisions,WED,2794,1057,391,400,283,430,
975,95WW25,Whitehouse,Wards and Electoral Divisions,WED,1768,766,244,236,147,221,
976,95XX01,Ballycrochan,Wards and Electoral Divisions,WED,4122,492,515,803,673,1301,
977,95XX02,Ballyholme,Wards and Electoral Divisions,WED,2154,281,157,308,284,1001,
978,95XX03,Ballymaconnell,Wards and Electoral Divisions,WED,2240,334,233,420,313,730,
979,95XX04,Ballymagee,Wards and Electoral Divisions,WED,2932,502,380,590,424,782,
980,95XX05,Bangor Castle,Wards and Electoral Divisions,WED,2274,597,290,343,249,562,
981,95XX06,Bloomfield,Wards and Electoral Divisions,WED,2916,697,429,491,389,671,
982,95XX07,Broadway,Wards and Electoral Divisions,WED,2409,424,221,391,334,857,
983,95XX08,Bryansburn,Wards and Electoral Divisions,WED,2221,446,224,329,277,761,
984,95XX09,Churchill,Wards and Electoral Divisions,WED,2378,571,267,329,267,730,
985,95XX10,Clandeboye,Wards and Electoral Divisions,WED,3597,748,513,630,554,846,
986,95XX11,Conlig,Wards and Electoral Divisions,WED,4796,969,640,832,694,1298,
987,95XX12,Craigavad,Wards and Electoral Divisions,WED,2157,333,170,323,272,933,
988,95XX13,Crawfordsburn,Wards and Electoral Divisions,WED,2312,328,161,333,263,1073,
989,95XX14,Cultra,Wards and Electoral Divisions,WED,2060,252,158,298,223,1020,
990,95XX15,Dufferin,Wards and Electoral Divisions,WED,2048,672,281,301,254,365,
991,95XX16,Groomsport,Wards and Electoral Divisions,WED,2646,550,281,411,311,829,
