version id,singleStoreSize,singleRestoreTime,restoreTime,parent,parent name,child name
95,2075,2075,2099,92,IRMCR2_20170426_04.csv,IRMCR2_20161031_06.csv
96,2319,2319,2343,92,IRMCR2_20170426_04.csv,IRMCR2_20161026_03.csv
97,3159,3159,3183,92,IRMCR2_20170426_04.csv,IRMCR2_20171112_03.csv
98,2210,2210,2234,92,IRMCR2_20170426_04.csv,IRMCR2_20160519_03.csv
99,971,971,995,92,IRMCR2_20170426_04.csv,IRMCR2_20150420_04.csv
100,19785,19785,19785,-1,
101,39,39,39,-1,
102,28,28,28,-1,
103,393,393,421,102,IRMCR2_20150420_09.csv,IRMCR2_20141106_05.csv
104,1664,1696,1724,102,IRMCR2_20150420_09.csv,IRMCR2_20171202_01.csv
105,533,1457,1485,102,IRMCR2_20150420_09.csv,IRMCR2_20150423_05.csv
106,1015,2732,2760,102,IRMCR2_20150420_09.csv,IRMCR2_20141122_04.csv
107,24,67,95,102,IRMCR2_20150420_09.csv,IRMCR2_20150409_07.csv
108,1761,1761,1800,101,IRMCR2_20141110_04.csv,IRMCR2_20150409_04.csv
109,44,128,156,102,IRMCR2_20150420_09.csv,IRMCR2_20171121_04.csv
110,11154,11154,11154,-1,
111,10625,10625,10625,-1,
112,838,1084,1147,114,IRMCR2_20171129_01.csv,IRMCR2_20160513_02.csv
113,1068,1068,1131,114,IRMCR2_20171129_01.csv,IRMCR2_20171204_03.csv
114,63,63,63,-1,
115,141,141,204,114,IRMCR2_20171129_01.csv,IRMCR2_20160512_03.csv
116,77,77,77,-1,
117,924,924,987,114,IRMCR2_20171129_01.csv,IRMCR2_20161014_04.csv
118,1225,2501,2564,114,IRMCR2_20171129_01.csv,IRMCR2_20141121_05.csv
119,656,1693,1756,114,IRMCR2_20171129_01.csv,IRMCR2_20141121_04.csv
120,2783,2783,2783,-1,
121,259,525,668,125,IRMCR2_20150410_06.csv,IRMCR2_20161117_03.csv
122,14983,14983,14983,-1,
123,200,200,200,-1,
124,1539,1539,1682,125,IRMCR2_20150410_06.csv,IRMCR2_20171129_04.csv
125,143,143,143,-1,
126,17510,17510,17510,-1,
127,555,738,881,125,IRMCR2_20150410_06.csv,IRMCR2_20180426_01.csv
128,396,1129,1272,125,IRMCR2_20150410_06.csv,IRMCR2_20170426_03.csv
129,2843,2843,2986,125,IRMCR2_20150410_06.csv,IRMCR2_20161118_06.csv
130,10234,10234,10234,-1,
131,1073,3225,3823,134,IRMCR2_20150420_11.csv,IRMCR2_20150409_01.csv
132,1717,1717,2315,134,IRMCR2_20150420_11.csv,IRMCR2_20161026_04.csv
133,6389,6389,6389,-1,
134,598,598,598,-1,
135,3718,3718,4316,134,IRMCR2_20150420_11.csv,IRMCR2_20161024_05.csv
136,794,794,794,-1,
137,725,725,725,-1,
138,2748,2748,3346,134,IRMCR2_20150420_11.csv,IRMCR2_20161015_06.csv
139,15556,15556,15556,-1,
140,1993,1993,2011,147,IRMCR2_20150409_03.csv,IRMCR2_20161118_05.csv
141,2175,2175,2193,147,IRMCR2_20150409_03.csv,IRMCR2_20181020_01.csv
142,2041,2041,2059,147,IRMCR2_20150409_03.csv,IRMCR2_20181112_04.csv
143,7617,7617,7617,-1,
144,311,311,329,147,IRMCR2_20150409_03.csv,IRMCR2_20161022_03.csv
145,783,783,801,147,IRMCR2_20150409_03.csv,IRMCR2_20150410_09.csv
146,15713,15713,15713,-1,
147,18,18,18,-1,
148,3491,3491,3509,147,IRMCR2_20150409_03.csv,IRMCR2_20161020_09.csv
149,129,329,347,147,IRMCR2_20150409_03.csv,IRMCR2_20160516_02.csv
150,569,569,569,-1,
151,853,2163,2210,157,IRMCR2_20150409_02.csv,IRMCR2_20161103_07.csv
152,23,57,104,157,IRMCR2_20150409_02.csv,IRMCR2_20171103_06.csv
153,3057,3243,3290,157,IRMCR2_20150409_02.csv,IRMCR2_20181114_01.csv
154,19,55,102,157,IRMCR2_20150409_02.csv,IRMCR2_20160509_09.csv
155,121,126,173,157,IRMCR2_20150409_02.csv,IRMCR2_20141102_15.csv
156,3639,3979,4026,157,IRMCR2_20150409_02.csv,IRMCR2_20161112_04.csv
157,47,47,47,-1,
158,1118,3351,3398,157,IRMCR2_20150409_02.csv,IRMCR2_20171125_03.csv
159,1220,1554,1601,157,IRMCR2_20150409_02.csv,IRMCR2_20141108_05.csv
160,674,674,674,-1,
161,15,15,15,-1,
162,1546,1546,1561,161,IRMCR2_20161014_03.csv,IRMCR2_20181011_01.csv
163,312,312,327,161,IRMCR2_20161014_03.csv,IRMCR2_20141111_04.csv
164,1133,1475,1490,161,IRMCR2_20161014_03.csv,IRMCR2_20181112_02.csv
165,316,781,796,161,IRMCR2_20161014_03.csv,IRMCR2_20171129_06.csv
166,2391,2391,2406,161,IRMCR2_20161014_03.csv,IRMCR2_20171207_02.csv
167,19133,19133,19133,-1,
168,242,537,552,161,IRMCR2_20161014_03.csv,IRMCR2_20160509_01.csv
169,49,56,71,161,IRMCR2_20161014_03.csv,IRMCR2_20171129_05.csv
170,322,322,393,169,IRMCR2_20171129_05.csv,IRMCR2_20141111_12.csv
171,77,77,77,-1,
172,920,1884,1961,171,IRMCR2_20160509_04.csv,IRMCR2_20161102_05.csv
173,3298,3298,3375,171,IRMCR2_20160509_04.csv,IRMCR2_20141110_03.csv
174,250,712,789,171,IRMCR2_20160509_04.csv,IRMCR2_20171204_05.csv
175,75,75,152,171,IRMCR2_20160509_04.csv,IRMCR2_20160511_01.csv
176,2446,2446,2523,171,IRMCR2_20160509_04.csv,IRMCR2_20171217_01.csv
177,633,633,710,171,IRMCR2_20160509_04.csv,IRMCR2_20150408_04.csv
178,188,188,265,171,IRMCR2_20160509_04.csv,IRMCR2_20141111_05.csv
179,4660,4660,4737,171,IRMCR2_20160509_04.csv,IRMCR2_20170329_02.csv
180,91,91,91,-1,
181,3963,3963,4054,180,IRMCR2_20150409_06.csv,IRMCR2_20181022_01.csv
182,985,2671,2762,180,IRMCR2_20150409_06.csv,IRMCR2_20180419_01.csv
183,631,631,722,180,IRMCR2_20150409_06.csv,IRMCR2_20170406_01.csv
184,117,117,117,-1,
185,949,949,1040,180,IRMCR2_20150409_06.csv,IRMCR2_20150423_03.csv
186,453,553,644,180,IRMCR2_20150409_06.csv,IRMCR2_20141115_07.csv
187,269,901,992,180,IRMCR2_20150409_06.csv,IRMCR2_20150515_04.csv
188,20203,20203,20203,-1,
189,459,1271,1362,180,IRMCR2_20150409_06.csv,IRMCR2_20171202_02.csv
190,4302,4302,4361,199,IRMCR2_20161104_04.csv,IRMCR2_20150428_03.csv
