version id,singleStoreSize,singleRestoreTime,restoreTime,parent,parent name,child name
40,865,1214,10461,39,SMAP_L2_SM_P_39119_D_20220529T090245_R18290_001.h5,SMAP_L2_SM_P_39396_A_20220617T064704_R18290_001.h5
41,823,874,11335,40,SMAP_L2_SM_P_39396_A_20220617T064704_R18290_001.h5,SMAP_L2_SM_P_39329_D_20220612T173736_R18290_001.h5
42,724,1097,11558,40,SMAP_L2_SM_P_39396_A_20220617T064704_R18290_001.h5,SMAP_L2_SM_P_39550_A_20220627T193044_R18290_001.h5
43,1044,1193,11654,40,SMAP_L2_SM_P_39396_A_20220617T064704_R18290_001.h5,SMAP_L2_SM_P_39451_D_20220621T015143_R18290_001.h5
44,817,1206,11667,40,SMAP_L2_SM_P_39396_A_20220617T064704_R18290_001.h5,SMAP_L2_SM_P_39214_A_20220604T200601_R18290_001.h5
45,916,1139,11600,40,SMAP_L2_SM_P_39396_A_20220617T064704_R18290_001.h5,SMAP_L2_SM_P_39524_A_20220626T005038_R18290_001.h5
46,1138,1215,11676,40,SMAP_L2_SM_P_39396_A_20220617T064704_R18290_001.h5,SMAP_L2_SM_P_39324_A_20220612T083609_R18290_001.h5
47,714,816,11277,40,SMAP_L2_SM_P_39396_A_20220617T064704_R18290_001.h5,SMAP_L2_SM_P_39469_D_20220622T072424_R18290_001.h5
48,1243,1443,11904,40,SMAP_L2_SM_P_39396_A_20220617T064704_R18290_001.h5,SMAP_L2_SM_P_39306_D_20220611T035311_R18290_001.h5
49,1160,1482,11943,40,SMAP_L2_SM_P_39396_A_20220617T064704_R18290_001.h5,SMAP_L2_SM_P_39182_A_20220602T153632_R18290_001.h5
50,750,1057,13000,49,SMAP_L2_SM_P_39182_A_20220602T153632_R18290_001.h5,SMAP_L2_SM_P_39423_A_20220619T030531_R18290_001.h5
51,935,1157,14157,50,SMAP_L2_SM_P_39423_A_20220619T030531_R18290_001.h5,SMAP_L2_SM_P_39327_D_20220612T142041_R18290_001.h5
52,1191,1271,14271,50,SMAP_L2_SM_P_39423_A_20220619T030531_R18290_001.h5,SMAP_L2_SM_P_39456_A_20220621T091448_R18290_001.h5
53,719,936,13936,50,SMAP_L2_SM_P_39423_A_20220619T030531_R18290_001.h5,SMAP_L2_SM_P_39301_A_20220610T185140_R18290_001.h5
54,1101,1126,14126,50,SMAP_L2_SM_P_39423_A_20220619T030531_R18290_001.h5,SMAP_L2_SM_P_39539_D_20220627T021653_R18290_001.h5
55,1005,1432,14432,50,SMAP_L2_SM_P_39423_A_20220619T030531_R18290_001.h5,SMAP_L2_SM_P_39399_D_20220617T123143_R18290_001.h5
56,992,1243,14243,50,SMAP_L2_SM_P_39423_A_20220619T030531_R18290_001.h5,SMAP_L2_SM_P_39331_D_20220612T205431_R18290_001.h5
57,1050,1203,14203,50,SMAP_L2_SM_P_39423_A_20220619T030531_R18290_001.h5,SMAP_L2_SM_P_39180_A_20220602T121936_R18290_001.h5
58,639,757,13757,50,SMAP_L2_SM_P_39423_A_20220619T030531_R18290_001.h5,SMAP_L2_SM_P_39081_A_20220526T175209_R18290_001.h5
59,1033,1279,14279,50,SMAP_L2_SM_P_39423_A_20220619T030531_R18290_001.h5,SMAP_L2_SM_P_39302_D_20220610T211921_R18290_001.h5
60,745,845,15124,59,SMAP_L2_SM_P_39302_D_20220610T211921_R18290_001.h5,SMAP_L2_SM_P_39233_A_20220606T031639_R18290_001.h5
61,751,878,16002,60,SMAP_L2_SM_P_39233_A_20220606T031639_R18290_001.h5,SMAP_L2_SM_P_39349_A_20220614T013729_R18290_001.h5
62,1148,1153,16277,60,SMAP_L2_SM_P_39233_A_20220606T031639_R18290_001.h5,SMAP_L2_SM_P_39204_D_20220604T043036_R18290_001.h5
63,1061,1074,16198,60,SMAP_L2_SM_P_39233_A_20220606T031639_R18290_001.h5,SMAP_L2_SM_P_39261_D_20220608T020239_R18290_001.h5
64,810,1158,16282,60,SMAP_L2_SM_P_39233_A_20220606T031639_R18290_001.h5,SMAP_L2_SM_P_39133_D_20220530T080111_R18290_001.h5
65,763,932,16056,60,SMAP_L2_SM_P_39233_A_20220606T031639_R18290_001.h5,SMAP_L2_SM_P_39213_A_20220604T182731_R18290_001.h5
66,1117,1215,16339,60,SMAP_L2_SM_P_39233_A_20220606T031639_R18290_001.h5,SMAP_L2_SM_P_39574_A_20220629T105351_R18290_001.h5
67,1015,1232,16356,60,SMAP_L2_SM_P_39233_A_20220606T031639_R18290_001.h5,SMAP_L2_SM_P_39556_D_20220628T061045_R18290_001.h5
68,910,1139,16263,60,SMAP_L2_SM_P_39233_A_20220606T031639_R18290_001.h5,SMAP_L2_SM_P_39254_D_20220607T143328_R18290_001.h5
69,1145,1380,16504,60,SMAP_L2_SM_P_39233_A_20220606T031639_R18290_001.h5,SMAP_L2_SM_P_39372_A_20220615T152154_R18290_001.h5
70,1149,1269,17773,69,SMAP_L2_SM_P_39372_A_20220615T152154_R18290_001.h5,SMAP_L2_SM_P_39441_A_20220620T083752_R18290_001.h5
71,1103,1492,19265,70,SMAP_L2_SM_P_39441_A_20220620T083752_R18290_001.h5,SMAP_L2_SM_P_39172_A_20220601T231200_R18290_001.h5
72,1197,1560,19333,70,SMAP_L2_SM_P_39441_A_20220620T083752_R18290_001.h5,SMAP_L2_SM_P_39573_A_20220629T091525_R18290_001.h5
73,1094,1242,19015,70,SMAP_L2_SM_P_39441_A_20220620T083752_R18290_001.h5,SMAP_L2_SM_P_39142_D_20220530T224722_R18290_001.h5
74,1009,1042,18815,70,SMAP_L2_SM_P_39441_A_20220620T083752_R18290_001.h5,SMAP_L2_SM_P_39088_D_20220527T061035_R18290_001.h5
75,1172,1406,19179,70,SMAP_L2_SM_P_39441_A_20220620T083752_R18290_001.h5,SMAP_L2_SM_P_39252_A_20220607T102718_R18290_001.h5
76,1196,1393,19166,70,SMAP_L2_SM_P_39441_A_20220620T083752_R18290_001.h5,SMAP_L2_SM_P_39548_A_20220627T161349_R18290_001.h5
77,725,935,18708,70,SMAP_L2_SM_P_39441_A_20220620T083752_R18290_001.h5,SMAP_L2_SM_P_39433_A_20220619T193011_R18290_001.h5
78,947,1168,18941,70,SMAP_L2_SM_P_39441_A_20220620T083752_R18290_001.h5,SMAP_L2_SM_P_39316_D_20220611T201743_R18290_001.h5
79,1176,1295,19068,70,SMAP_L2_SM_P_39441_A_20220620T083752_R18290_001.h5,SMAP_L2_SM_P_39460_A_20220621T154859_R18290_001.h5
80,1204,1496,20564,79,SMAP_L2_SM_P_39460_A_20220621T154859_R18290_001.h5,SMAP_L2_SM_P_39142_A_20220530T215807_R18290_001.h5
81,461,526,21090,80,SMAP_L2_SM_P_39142_A_20220530T215807_R18290_001.h5,SMAP_L2_SM_P_39540_A_20220627T030604_R18290_001.h5
82,1053,1223,21787,80,SMAP_L2_SM_P_39142_A_20220530T215807_R18290_001.h5,SMAP_L2_SM_P_39219_D_20220605T050732_R18290_001.h5
83,746,758,21322,80,SMAP_L2_SM_P_39142_A_20220530T215807_R18290_001.h5,SMAP_L2_SM_P_39511_A_20220625T033041_R18290_001.h5
84,775,1052,21616,80,SMAP_L2_SM_P_39142_A_20220530T215807_R18290_001.h5,SMAP_L2_SM_P_39071_A_20220526T012733_R18290_001.h5
85,838,1089,21653,80,SMAP_L2_SM_P_39142_A_20220530T215807_R18290_001.h5,SMAP_L2_SM_P_39475_D_20220622T171510_R18290_001.h5
86,1017,1178,21742,80,SMAP_L2_SM_P_39142_A_20220530T215807_R18290_001.h5,SMAP_L2_SM_P_39406_D_20220618T000055_R18290_001.h5
87,1242,1550,22114,80,SMAP_L2_SM_P_39142_A_20220530T215807_R18290_001.h5,SMAP_L2_SM_P_39320_D_20220612T025134_R18290_001.h5
88,1140,1146,21710,80,SMAP_L2_SM_P_39142_A_20220530T215807_R18290_001.h5,SMAP_L2_SM_P_39280_A_20220609T082407_R18290_001.h5
89,817,1012,21576,80,SMAP_L2_SM_P_39142_A_20220530T215807_R18290_001.h5,SMAP_L2_SM_P_39474_D_20220622T153640_R18290_001.h5
90,742,1045,22621,89,SMAP_L2_SM_P_39474_D_20220622T153640_R18290_001.h5,SMAP_L2_SM_P_39276_A_20220609T015020_R18290_001.h5
91,741,833,23454,90,SMAP_L2_SM_P_39276_A_20220609T015020_R18290_001.h5,SMAP_L2_SM_P_39594_A_20220630T194307_R18290_001.h5
92,852,1140,23761,90,SMAP_L2_SM_P_39276_A_20220609T015020_R18290_001.h5,SMAP_L2_SM_P_39469_A_20220622T063510_R18290_001.h5
93,921,1120,23741,90,SMAP_L2_SM_P_39276_A_20220609T015020_R18290_001.h5,SMAP_L2_SM_P_39257_D_20220607T192849_R18290_001.h5
94,779,1145,23766,90,SMAP_L2_SM_P_39276_A_20220609T015020_R18290_001.h5,SMAP_L2_SM_P_39432_D_20220619T184056_R18290_001.h5
95,1133,1272,23893,90,SMAP_L2_SM_P_39276_A_20220609T015020_R18290_001.h5,SMAP_L2_SM_P_39587_A_20220630T081352_R18290_001.h5
96,775,1012,23633,90,SMAP_L2_SM_P_39276_A_20220609T015020_R18290_001.h5,SMAP_L2_SM_P_39323_D_20220612T074654_R18290_001.h5
97,1035,1431,24052,90,SMAP_L2_SM_P_39276_A_20220609T015020_R18290_001.h5,SMAP_L2_SM_P_39077_A_20220526T111818_R18290_001.h5
98,1001,1239,23860,90,SMAP_L2_SM_P_39276_A_20220609T015020_R18290_001.h5,SMAP_L2_SM_P_39479_D_20220622T234901_R18290_001.h5
99,967,1212,23833,90,SMAP_L2_SM_P_39276_A_20220609T015020_R18290_001.h5,SMAP_L2_SM_P_39195_D_20220603T134429_R18290_001.h5
100,1048,1147,24980,99,SMAP_L2_SM_P_39195_D_20220603T134429_R18290_001.h5,SMAP_L2_SM_P_39333_D_20220613T001126_R18290_001.h5
101,785,1166,26146,100,SMAP_L2_SM_P_39333_D_20220613T001126_R18290_001.h5,SMAP_L2_SM_P_39395_A_20220617T050838_R18290_001.h5
102,1172,1537,26517,100,SMAP_L2_SM_P_39333_D_20220613T001126_R18290_001.h5,SMAP_L2_SM_P_39270_A_20220608T155935_R18290_001.h5
103,745,805,25785,100,SMAP_L2_SM_P_39333_D_20220613T001126_R18290_001.h5,SMAP_L2_SM_P_39510_A_20220625T015212_R18290_001.h5
104,1076,1439,26419,100,SMAP_L2_SM_P_39333_D_20220613T001126_R18290_001.h5,SMAP_L2_SM_P_39098_D_20220527T223507_R18290_001.h5
105,1031,1212,26192,100,SMAP_L2_SM_P_39333_D_20220613T001126_R18290_001.h5,SMAP_L2_SM_P_39100_D_20220528T015202_R18290_001.h5
106,955,1321,26301,100,SMAP_L2_SM_P_39333_D_20220613T001126_R18290_001.h5,SMAP_L2_SM_P_39135_D_20220530T111811_R18290_001.h5
107,1039,1325,26305,100,SMAP_L2_SM_P_39333_D_20220613T001126_R18290_001.h5,SMAP_L2_SM_P_39421_A_20220618T234836_R18290_001.h5
108,738,1145,26125,100,SMAP_L2_SM_P_39333_D_20220613T001126_R18290_001.h5,SMAP_L2_SM_P_39291_A_20220610T022708_R18290_001.h5
109,1014,1125,26105,100,SMAP_L2_SM_P_39333_D_20220613T001126_R18290_001.h5,SMAP_L2_SM_P_39205_D_20220604T060905_R18290_001.h5
110,1187,1395,27500,109,SMAP_L2_SM_P_39205_D_20220604T060905_R18290_001.h5,SMAP_L2_SM_P_39120_A_20220529T095200_R18290_001.h5
111,1025,1421,28921,110,SMAP_L2_SM_P_39120_A_20220529T095200_R18290_001.h5,SMAP_L2_SM_P_39114_A_20220529T000114_R18290_001.h5
112,755,1103,28603,110,SMAP_L2_SM_P_39120_A_20220529T095200_R18290_001.h5,SMAP_L2_SM_P_39466_A_20220622T013945_R18290_001.h5
113,766,1149,28649,110,SMAP_L2_SM_P_39120_A_20220529T095200_R18290_001.h5,SMAP_L2_SM_P_39440_D_20220620T074837_R18290_001.h5
114,935,1042,28542,110,SMAP_L2_SM_P_39120_A_20220529T095200_R18290_001.h5,SMAP_L2_SM_P_39444_D_20220620T142232_R18290_001.h5
115,931,1149,28649,110,SMAP_L2_SM_P_39120_A_20220529T095200_R18290_001.h5,SMAP_L2_SM_P_39281_D_20220609T105151_R18290_001.h5
116,733,839,28339,110,SMAP_L2_SM_P_39120_A_20220529T095200_R18290_001.h5,SMAP_L2_SM_P_39320_A_20220612T020219_R18290_001.h5
117,958,1047,28547,110,SMAP_L2_SM_P_39120_A_20220529T095200_R18290_001.h5,SMAP_L2_SM_P_39590_A_20220630T130917_R18290_001.h5
118,808,1004,28504,110,SMAP_L2_SM_P_39120_A_20220529T095200_R18290_001.h5,SMAP_L2_SM_P_39153_D_20220531T165028_R18290_001.h5
119,1016,1233,28733,110,SMAP_L2_SM_P_39120_A_20220529T095200_R18290_001.h5,SMAP_L2_SM_P_39382_A_20220616T074626_R18290_001.h5
120,1150,1562,30295,119,SMAP_L2_SM_P_39382_A_20220616T074626_R18290_001.h5,SMAP_L2_SM_P_39328_A_20220612T150955_R18290_001.h5
121,792,1202,31497,120,SMAP_L2_SM_P_39328_A_20220612T150955_R18290_001.h5,SMAP_L2_SM_P_39109_D_20220528T163809_R18290_001.h5
122,1106,1221,31516,120,SMAP_L2_SM_P_39328_A_20220612T150955_R18290_001.h5,SMAP_L2_SM_P_39332_D_20220612T223257_R18290_001.h5
123,1193,1246,31541,120,SMAP_L2_SM_P_39328_A_20220612T150955_R18290_001.h5,SMAP_L2_SM_P_39241_A_20220606T162420_R18290_001.h5
124,967,1390,31685,120,SMAP_L2_SM_P_39328_A_20220612T150955_R18290_001.h5,SMAP_L2_SM_P_39473_D_20220622T135815_R18290_001.h5
125,1107,1451,31746,120,SMAP_L2_SM_P_39328_A_20220612T150955_R18290_001.h5,SMAP_L2_SM_P_39365_D_20220615T044201_R18290_001.h5
126,851,1218,31513,120,SMAP_L2_SM_P_39328_A_20220612T150955_R18290_001.h5,SMAP_L2_SM_P_39108_D_20220528T145943_R18290_001.h5
127,1035,1417,31712,120,SMAP_L2_SM_P_39328_A_20220612T150955_R18290_001.h5,SMAP_L2_SM_P_39470_D_20220622T090250_R18290_001.h5
128,1031,1252,31547,120,SMAP_L2_SM_P_39328_A_20220612T150955_R18290_001.h5,SMAP_L2_SM_P_39278_D_20220609T055626_R18290_001.h5
129,817,1129,31424,120,SMAP_L2_SM_P_39328_A_20220612T150955_R18290_001.h5,SMAP_L2_SM_P_39527_A_20220626T054603_R18290_001.h5
130,1001,1295,32719,129,SMAP_L2_SM_P_39527_A_20220626T054603_R18290_001.h5,SMAP_L2_SM_P_39253_D_20220607T125502_R18290_001.h5
131,797,1166,33885,130,SMAP_L2_SM_P_39253_D_20220607T125502_R18290_001.h5,SMAP_L2_SM_P_39095_D_20220527T173946_R18290_001.h5
132,1018,1056,33775,130,SMAP_L2_SM_P_39253_D_20220607T125502_R18290_001.h5,SMAP_L2_SM_P_39523_D_20220626T000123_R18290_001.h5
133,745,1028,33747,130,SMAP_L2_SM_P_39253_D_20220607T125502_R18290_001.h5,SMAP_L2_SM_P_39159_A_20220601T015159_R18290_001.h5
134,767,1036,33755,130,SMAP_L2_SM_P_39253_D_20220607T125502_R18290_001.h5,SMAP_L2_SM_P_39564_A_20220628T182915_R18290_001.h5
135,993,1321,34040,130,SMAP_L2_SM_P_39253_D_20220607T125502_R18290_001.h5,SMAP_L2_SM_P_39589_D_20220630T122002_R18290_001.h5
136,864,1265,33984,130,SMAP_L2_SM_P_39253_D_20220607T125502_R18290_001.h5,SMAP_L2_SM_P_39225_D_20220605T145818_R18290_001.h5
137,1024,1431,34150,130,SMAP_L2_SM_P_39253_D_20220607T125502_R18290_001.h5,SMAP_L2_SM_P_39507_D_20220624T214602_R18290_001.h5
138,864,1086,33805,130,SMAP_L2_SM_P_39253_D_20220607T125502_R18290_001.h5,SMAP_L2_SM_P_39315_A_20220611T175003_R18290_001.h5
139,790,1120,33839,130,SMAP_L2_SM_P_39253_D_20220607T125502_R18290_001.h5,SMAP_L2_SM_P_39562_D_20220628T160130_R18290_001.h5
140,1160,1560,35399,139,SMAP_L2_SM_P_39562_D_20220628T160130_R18290_001.h5,SMAP_L2_SM_P_39416_A_20220618T153620_R18290_001.h5
141,13,271,35670,140,SMAP_L2_SM_P_39416_A_20220618T153620_R18290_001.h5,SMAP_L2_SM_P_39446_D_20220620T173927_R18290_001.h5
142,1044,1385,36784,140,SMAP_L2_SM_P_39416_A_20220618T153620_R18290_001.h5,SMAP_L2_SM_P_39541_D_20220627T053348_R18290_001.h5
143,1009,1326,36725,140,SMAP_L2_SM_P_39416_A_20220618T153620_R18290_001.h5,SMAP_L2_SM_P_39480_D_20220623T012726_R18290_001.h5
144,1147,1539,36938,140,SMAP_L2_SM_P_39416_A_20220618T153620_R18290_001.h5,SMAP_L2_SM_P_39123_A_20220529T144725_R18290_001.h5
145,741,817,36216,140,SMAP_L2_SM_P_39416_A_20220618T153620_R18290_001.h5,SMAP_L2_SM_P_39130_A_20220530T021636_R18290_001.h5
146,993,1221,36620,140,SMAP_L2_SM_P_39416_A_20220618T153620_R18290_001.h5,SMAP_L2_SM_P_39444_A_20220620T133317_R18290_001.h5
147,996,1024,36423,140,SMAP_L2_SM_P_39416_A_20220618T153620_R18290_001.h5,SMAP_L2_SM_P_39246_D_20220607T012551_R18290_001.h5
148,1072,1262,36661,140,SMAP_L2_SM_P_39416_A_20220618T153620_R18290_001.h5,SMAP_L2_SM_P_39260_D_20220608T002414_R18290_001.h5
149,947,1094,36493,140,SMAP_L2_SM_P_39416_A_20220618T153620_R18290_001.h5,SMAP_L2_SM_P_39293_D_20220610T063318_R18290_001.h5
150,1013,1096,37589,149,SMAP_L2_SM_P_39293_D_20220610T063318_R18290_001.h5,SMAP_L2_SM_P_39172_D_20220602T000114_R18290_001.h5
151,742,808,38397,150,SMAP_L2_SM_P_39172_D_20220602T000114_R18290_001.h5,SMAP_L2_SM_P_39350_A_20220614T031555_R18290_001.h5
152,1077,1380,38969,150,SMAP_L2_SM_P_39172_D_20220602T000114_R18290_001.h5,SMAP_L2_SM_P_39186_D_20220602T225937_R18290_001.h5
153,1002,1114,38703,150,SMAP_L2_SM_P_39172_D_20220602T000114_R18290_001.h5,SMAP_L2_SM_P_39341_D_20220613T131903_R18290_001.h5
154,1163,1496,39085,150,SMAP_L2_SM_P_39172_D_20220602T000114_R18290_001.h5,SMAP_L2_SM_P_39445_A_20220620T151142_R18290_001.h5
155,930,1132,38721,150,SMAP_L2_SM_P_39172_D_20220602T000114_R18290_001.h5,SMAP_L2_SM_P_39515_D_20220625T105347_R18290_001.h5
156,908,1121,38710,150,SMAP_L2_SM_P_39172_D_20220602T000114_R18290_001.h5,SMAP_L2_SM_P_39491_D_20220623T193032_R18290_001.h5
157,1039,1109,38698,150,SMAP_L2_SM_P_39172_D_20220602T000114_R18290_001.h5,SMAP_L2_SM_P_39468_D_20220622T054555_R18290_001.h5
158,980,1163,38752,150,SMAP_L2_SM_P_39172_D_20220602T000114_R18290_001.h5,SMAP_L2_SM_P_39166_A_20220601T132114_R18290_001.h5
