version id,singleStoreSize,singleRestoreTime,restoreTime,parent,parent name,child name
845,30,83,1449,840,ILATM2_20191118_014800_smooth_nadir3seg_50pt.csv,ILATM2_20191119_025900_smooth_nadir3seg_50pt.csv
846,30,85,1451,840,ILATM2_20191118_014800_smooth_nadir3seg_50pt.csv,ILATM2_20191118_020000_smooth_nadir3seg_50pt.csv
847,29,31,1397,840,ILATM2_20191118_014800_smooth_nadir3seg_50pt.csv,ILATM2_20191120_014700_smooth_nadir3seg_50pt.csv
848,30,66,1432,840,ILATM2_20191118_014800_smooth_nadir3seg_50pt.csv,ILATM2_20191117_013500_smooth_nadir3seg_50pt.csv
849,30,79,1445,840,ILATM2_20191118_014800_smooth_nadir3seg_50pt.csv,ILATM2_20191118_021000_smooth_nadir3seg_50pt.csv
850,27,28,1473,849,ILATM2_20191118_021000_smooth_nadir3seg_50pt.csv,ILATM2_20191120_011900_smooth_nadir3seg_50pt.csv
851,24,64,1537,850,ILATM2_20191120_011900_smooth_nadir3seg_50pt.csv,ILATM2_20191109_011700_smooth_nadir3seg_50pt.csv
852,30,76,1549,850,ILATM2_20191120_011900_smooth_nadir3seg_50pt.csv,ILATM2_20191119_021600_smooth_nadir3seg_50pt.csv
853,16,23,1496,850,ILATM2_20191120_011900_smooth_nadir3seg_50pt.csv,ILATM2_20191114_031900_smooth_nadir3seg_50pt.csv
854,29,42,1515,850,ILATM2_20191120_011900_smooth_nadir3seg_50pt.csv,ILATM2_20191114_030800_smooth_nadir3seg_50pt.csv
855,29,45,1518,850,ILATM2_20191120_011900_smooth_nadir3seg_50pt.csv,ILATM2_20191120_023000_smooth_nadir3seg_50pt.csv
856,29,85,1558,850,ILATM2_20191120_011900_smooth_nadir3seg_50pt.csv,ILATM2_20191120_012100_smooth_nadir3seg_50pt.csv
857,30,83,1556,850,ILATM2_20191120_011900_smooth_nadir3seg_50pt.csv,ILATM2_20191110_020900_smooth_nadir3seg_50pt.csv
